Symbol,MarketCapitalization
NAAS,35604680
HOLO,35541468
GRYP,35369888
INTE,35355356
CDTG,35310000
GOEV,35161300
ELEV,34957124
MLGO,34944864
OPTX,34853884
OTLK,34773732
SRZN,34707864
TOPS,34696500
GBNY,34454548
ECDA,34389716
STI,34309880
PBBK,34267272
CRIS,34206528
CTRM,33818236
LEXXW,33790680
AWRE,33714200
TLF,33689200
AERT,33611152
CMBM,33610096
DYAI,33604480
RAYA,33600000
PXSAW,33462260
CLNN,33195676
RNXT,33121794
CARM,33066080
DZSI,32970990
LILM,32897334
ADYRF,32804682
ANY,32787598
AAME,32639680
MLEC,32618384
LRE,32604142
GROW,32596938
AMJT,32334602
ABLV,32246368
TNXP,32239214
AITX,32161592
SAG,32093750
ICCC,32081724
PET,32012708
LITB,31989204
POCI,31941356
HYFM,31890394
BNIX,31849026
AAQL,31794698
APWC,31748948
DTST,31634810
ACMNF,31597900
ADVNF,31486114
AGXPF,31334144
FTEK,31322466
NDLS,31289934
NTWK,31211456
CMMB,31113390
INTG,31084196
MIND,31001044
HTCR,30982024
ICLK,30944876
AGGI,30916914
KPLT,30777546
IRIX,30777220
APLMW,30664370
NXTC,30527304
MRKR,30429102
PMN,30400956
AKTX,30348444
OCG,30267958
GAME,30198090
AHOTF,30029536
AFNL,30024306
LIVE,29969698
FENG,29969250
HOOK,29895146
ONMD,29865710
CLPS,29789550
TWG,29725000
CETY,29687726
LGVN,29673544
IXHL,29458184
CHR,29416814
FLUX,29361200
HUIZ,29340580
PMEC,29334144
GLBS,29021042
CGA,28995260
KALA,28951680
FEAM,28930860
APCFF,28842538
GTEC,28684508
QOMO,28630496
PLUR,28615980
ELBM,28609568
GREE,28599084
ENLV,28586430
GTIM,28494922
CREX,28415024
AACG,28370574
OESX,28299806
JZ,27903150
NSYS,27870742
APHP,27849750
DARE,27841248
AMOSF,27776400
MOVE,27724370
ALTS,27657164
NISN,27587546
SABS,27410932
HUDA,27372680
TRIB,27315800
GP,27308852
HUDI,27235072
AIFF,27089730
EMKR,27038642
ABCP,27010346
INKT,26996830
AQU,26955352
BLRX,26819860
LPCN,26686220
AMEN,26651070
ACIXF,26593502
NAII,26530780
KIRK,26498158
ACCMF,26360950
CODX,26182436
GDTC,26165796
DRIO,26151940
HWH,26146876
ALBY,26072600
AMQFF,25966844
BANL,25965500
SLNH,25955648
BLMZ,25785216
ANDMF,25715476
IZM,25693080
AEON,25669184
OCEA,25636794
EQ,25474704
CAPT,25263506
FEMY,25188350
CXAI,25183952
CMCT,25131404
UTSI,25004262
DALN,24996140
KORE,24832264
MIGI,24694032
CACO,24685034
ABTS,24522076
DTSTW,24508670
IINN,24424620
DAIO,24383086
BNGO,24366254
ACCFF,24350954
ATHA,24168188
EVTV,24101900
DRRX,24060654
PNST,24052680
CNTM,23915432
VSEE,23713600
ALUR,23447290
GDC,23339656
JVA,23176916
NWGL,23174480
ADHLF,23157050
NXGL,22952838
UCAR,22937910
SUGP,22927800
ADXRF,22913960
RAY,22897030
EPOW,22873724
ANKM,22835882
OXBR,22694718
VNCE,22686840
LTCH,22666540
LSTA,22666230
RNLX,22548012
FEDU,22538998
BHACU,22482916
DTCK,22418050
ATER,22413286
NYC,22410466
MKTW,22349498
CVKD,22177754
DFLI,22165000
CGBS,22101000
PSHG,22004994
AFGC,21937358
FLGC,21921060
SDOT,21754600
INAB,21744990
AGDXF,21706600
BOLT,21547700
NRSN,21537880
KFFB,21500970
ABMBF,21497398
CCTG,21425220
CVV,21402522
PIRS,21137042
CCM,20738660
CPSH,20699482
GOVX,20664994
ASPS,20652164
PULM,20635382
NVNI,20608128
SPRB,20444788
AMS,20415600
RMCF,20362158
NRBO,20333782
MULN,20299822
COOT,20181744
AGCCF,20176000
NCNC,20164634
AQMS,20111648
TENX,20078480
PYPD,20070266
UBX,20051976
GYRO,19903756
BIAF,19810048
IPW,19801656
LIQT,19749246
MIRA,19707472
KZIA,19706220
XIN,19704016
NMTC,19679520
BOSC,19675358
NXPL,19628104
OCC,19519198
FEBO,19470000
BTAI,19445710
VVOS,19389554
MRAI,19384680
SWAG,19351592
PWM,19273320
SVMH,19185284
COCP,19126744
ADCV,19079310
ABRMF,18956400
AMYZF,18935568
ANLBF,18812210
CDIO,18780242
ANGVF,18725620
APLO,18718272
RETO,18708110
BFRG,18646142
SAI,18478714
AHFCF,18420240
GLYC,18410182
FCUV,18405598
LSH,18300000
SAIH,18261926
ADN,18218284
MEIP,18189604
GELS,18122058
ABVE,18069000
ILAG,18058194
BHV,18012002
DPRO,18010392
TMTC,18000642
COSM,17991284
PMNT,17934448
GFAI,17917056
VHC,17860622
PRZO,17860000
GLACU,17828250
MSS,17721450
KLTO,17646580
AMFC,17536876
MTEK,17411486
APGI,17358080
CYTH,17338534
USEA,17334770
SHFS,17258724
SANW,17224904
CYCN,17209136
HOVR,17194568
PALT,17180802
APRE,17174284
HLP,17090122
NEPH,17081604
BHIL,16996976
SEAC,16991706
MGIH,16987500
ATHE,16960954
JFU,16953624
PRPH,16855044
CPOP,16806376
MOGU,16752445
DTSS,16654449
CPIX,16569913
LFWD,16559303
TURB,16525650
APLM,16517997
SYBX,16491501
LUCY,16485188
AGBIF,16480860
AOREF,16442650
HUBC,16409204
GLBZ,16301821
ERNA,16280643
GIGM,16226840
SGMA,16216119
BGXX,16153527
EZFL,16148027
ALXXF,16139932
MBOT,16112777
EDTK,16088795
CISO,16077784
ALVLF,16074660
SEED,16055619
EDUC,16047592
KUKE,15999229
NKGN,15906008
EQS,15895853
MTEX,15832216
MNTS,15790043
TAIT,15775491
UGRO,15768064
CGTX,15709299
ELSE,15665698
AHIX,15543695
SONM,15489380
MRNS,15474043
MRM,15428367
AKEMF,15397200
EKSO,15376837
BBGI,15361760
AAIRF,15354347
HRYU,15319775
MKDW,15295820
TLPH,15293700
LOBO,15214800
AASP,15166843
MOB,14988076
AIRI,14977215
NERV,14826028
APCX,14787959
CARA,14772587
SPPL,14765660
PT,14707129
TOI,14658467
DNMR,14616268
BPT,14552000
TXMD,14530824
DLPN,14510623
ARBB,14500969
TKLF,14446908
NCRA,14437510
NRXP,14391980
PSIG,14351194
RMCO,14335584
SLGL,14207376
CNFR,14178564
AAMAF,14175400
TOMZ,14132732
FMST,14082598
DRCT,13947706
PMD,13851980
MDRR,13773461
STRM,13720232
ALTNF,13689363
MOND,13680619
RVYL,13663932
IDAI,13660297
MYNZ,13596975
RLMD,13578390
HYZN,13437468
TSBX,13391401
LYRA,13379534
CING,13362876
BOF,13350440
LRHC,13332595
JZXN,13309351
LOCL,13284723
MEDS,13282956
EVAX,13275783
AIM,13187233
AWH,13167167
EEIQ,13133232
LAES,13083790
CSCI,13081328
AGMRF,13048831
ACXP,13046078
ACWRF,13028290
MCVT,13025930
VRAR,13014544
CLRO,12943315
INTJ,12836250
INHD,12823444
MTR,12802863
DUO,12749612
CMLS,12661093
AMSLF,12656516
ACMTA,12643170
MTBLY,12629610
SIDU,12616943
ROMA,12611995
PMCB,12593625
SSKN,12471768
IMRN,12462612
CJJD,12391318
MMV,12327240
IMNN,12324145
CYCCP,12302511
SMSI,12234776
WBUY,12146759
PETZ,12078261
ANKOF,12045174
MHUA,12037070
TVC,12033000
ASTC,12031231
BLIN,11980240
SNSE,11959490
HCWB,11948412
HTOO,11844428
TVE,11807250
AEI,11774778
PEV,11761392
JAGX,11664979
ABSOF,11661540
ALPGF,11657620
SOS,11645021
QTI,11567514
APTO,11541161
INDP,11533344
CJET,11407367
CLWT,11188635
BTOG,11130155
CYN,11105384
CDT,11060676
VISL,11040602
VLD,11036441
SCKT,11027642
NCI,10972800
FLYE,10916850
SRM,10893053
AATV,10815459
CWD,10784697
AMPG,10754251
KPRX,10753354
OP,10726118
OMEX,10723919
ICU,10666929
FRSX,10662168
APAAF,10610240
IPA,10578571
DOMH,10543915
AGLDF,10531749
VINC,10480977
TTOO,10477310
AKRFF,10433605
PAVM,10395023
BRTX,10310681
VVPR,10237238
GVH,10157627
GIPR,10114249
RVSN,10073323
AGTX,10016750
LIFW,9984753
LMFA,9953327
EVGN,9944554
BCDA,9902045
SLXN,9866084
ACPS,9852105
PETV,9823741
AYTU,9777499
MEGL,9763440
ADMG,9756320
SPI,9730595
LIDR,9681138
BTBD,9665260
PAIYY,9605388
LCFY,9467933
JL,9432560
CNTG,9425032
MFI,9358286
LEDS,9355190
VRM,9347732
EYEN,9334193
VCNX,9314707
BCLI,9296579
APMCF,9283852
AIHS,9255840
RDHL,9232693
GNPX,9188716
IPDN,9049768
NXTT,9045613
GMM,9030789
MBIO,9030458
STRR,9012891
BLBX,8996476
BYU,8940191
CAUD,8910096
BHAT,8894061
PRPO,8893980
SOGP,8865864
TRAW,8851432
OMH,8832232
GSIW,8828125
IMCC,8817266
NURO,8803994
VCIG,8760000
IBG,8757693
ALBAF,8728960
CUTR,8677921
APRAF,8673377
BREA,8663915
PXDT,8622591
JCSE,8543739
ABTI,8538075
CARV,8533849
HIHO,8517521
AGDY,8485722
PNBK,8474596
TCTM,8451742
SQFT,8411328
AIDA,8370000
ATIF,8342250
BNZI,8298146
AILQF,8292338
AMFL,8272887
VERB,8212697
APDN,8179099
SOAR,8159884
ARTW,8150462
COEP,8062875
ADXN,8049193
AIMLF,8035470
SNGX,8030400
ELWS,8020911
AAMMF,7985881
PPBT,7955240
SLE,7952896
ONFO,7932600
LDTC,7923045
PSTV,7901082
IMG,7898165
EDSA,7891146
BFRI,7826702
BRQSF,7821927
CTNT,7771979
ADCOF,7735831
APMLF,7716020
RGF,7707365
FGI,7646346
GRNQ,7613689
MARPS,7600200
APCOF,7599039
FTFT,7583211
SPCB,7570350
KDLY,7552311
ADMQ,7549903
ONVO,7527698
EFOI,7522858
MBRX,7504750
ASNS,7504464
GLTO,7454163
RKDA,7438922
AHNR,7428960
VRAX,7424752
HOFV,7409229
AIKO,7383850
ADIL,7366647
AKTS,7358532
AMNNF,7328035
CISS,7321875
POLA,7250432
BTCY,7246210
MICS,7205269
ULY,7154840
IVP,7119482
NIVF,7090371
WAFU,7056896
KA,7045400
JXJT,6972668
TCS,6971525
JNVR,6966203
TNON,6931864
CMAX,6905095
KITT,6856004
LVWD,6845010
GDHG,6839940
OTRK,6832917
CTCX,6804708
VRME,6803676
UBXG,6793875
KRKR,6747969
ADXDF,6704389
AFFL,6672592
STKH,6633683
HAO,6605114
CHNR,6590358
AMST,6578988
LGCB,6578880
ABVC,6553256
ENG,6548856
GWAV,6541323
MGOL,6504960
EGIO,6499438
BENF,6467995
SBFM,6458902
ANTE,6438510
EJH,6419428
GURE,6414686
MRIN,6412638
LDWY,6405952
JWEL,6402916
AMIX,6381216
ELAB,6360820
SYRS,6343203
VEEE,6336750
ALRTF,6324670
AIFS,6320578
AGTT,6311550
ATPC,6302715
EVOK,6270962
GTBP,6233780
CNEY,6223203
VIRX,6200095
QNTM,6171661
INBS,6141548
CREG,6136102
SRAX,6121563
BON,6114662
MGRX,6091949
ADMT,6082965
PEGY,6061231
RNAZ,6057227
CEAD,6031760
AIMD,5950684
AHGIF,5921599
BIOR,5879510
TRUG,5875286
AGREF,5852919
HOTH,5813004
STSS,5806894
GRI,5797757
AABVF,5795079
GSUN,5764535
AGSS,5695037
AAMTF,5645016
AMNCB,5643365
AMNC,5643356
BQ,5614817
BNRG,5596370
BNOX,5567233
AOECF,5560600
CMND,5496305
AICOF,5494648
NUWE,5467462
SGLY,5465444
ALTAF,5457409
BMRA,5455244
SNTG,5447931
IDEX,5418476
GV,5397191
BGLC,5390310
RIME,5354294
AMBO,5343740
NLSP,5329800
ALXEF,5304892
ACRDF,5292469
CNSP,5279982
UPXI,5277262
BCAN,5256124
AEMD,5251108
IFBD,5245601
ONCO,5225680
DATS,5206141
DDC,5195921
AMMPF,5163420
ANTCF,5153659
ALZN,5146675
PIK,5123055
LITM,5121387
MARK,5095210
NMHI,5058724
POAI,5038911
AYRO,5034171
APVO,4993253
ADTX,4981988
MSGM,4970956
AGRI,4963609
KAVL,4949575
IMTE,4906944
INTZ,4899816
VTNR,4872095
VS,4806392
NCNA,4788744
CERO,4786146
ANTMF,4773495
LQR,4739919
CHEK,4737868
AHRO,4730397
NXU,4713969
ABEPF,4706861
ACRHF,4704200
ALTPF,4692024
IVDA,4678201
AAUGF,4660608
SINT,4659686
SOBR,4637403
FORD,4591467
ACUT,4562427
ABBB,4529556
PRTG,4517872
NVFY,4470637
OCTO,4467689
NUKK,4457582
LIXT,4453594
HEPA,4383773
ALCE,4335636
ALID,4332680
GLMD,4241894
ICCT,4232289
CREV,4222803
CELZ,4194792
APM,4181330
SISI,4179518
ATNF,4151699
ALIF,4138110
REBN,4113267
BOXL,4109119
LKCO,4098746
HSCS,4084779
AACTF,4082985
GXAI,4076493
SNPX,4066965
TIRX,4053395
PTIX,4043597
LGHL,4019103
OST,3987023
OLB,3981866
DBGI,3969457
SYRA,3944419
HCTI,3920845
LFLY,3907661
ALDVD,3894161
DCFC,3893125
INM,3891982
SNUYF,3887898
VSME,3881576
ISPC,3869800
CANB,3867942
NTRP,3804873
QNRX,3787290
ATXG,3782795
WATT,3778139
AREB,3770571
AEHL,3760269
ARTL,3744132
ACUS,3713009
GENE,3708138
CNET,3699557
OBLG,3686674
RSLS,3641793
DGLY,3595021
CTHR,3572138
KTTA,3571332
ICON,3568112
LIPO,3566402
MTEM,3552661
MMAT,3520514
AMNP,3514448
SPWRQ,3509539
AQB,3479202
ATXI,3479166
SNAX,3478312
SNOA,3468450
ADAD,3467035
ATIP,3453380
PRSO,3446934
BJDX,3427694
AOXG,3412089
LGMK,3401920
TCRT,3394649
SGD,3375194
AUUD,3364492
KXIN,3358601
PTPI,3349984
PCSA,3348613
ENVB,3338509
TTNP,3336954
QLGN,3336032
LUXH,3297548
SBIG,3288365
BKYI,3254326
INVO,3253756
FRGT,3248213
AIAD,3226152
ASTI,3219264
FAMI,3203676
AMTY,3189363
LTRY,3157877
JTAI,3132204
TNFA,3128954
EDBL,3125013
SOPA,3111231
ACRB,3111160
EAST,3110844
VRPX,3030788
THAR,3016661
ABCFF,2982120
FRES,2968057
CYAN,2943890
NVVE,2939828
SPGC,2939200
SHPH,2925339
BPTH,2915336
ALBT,2910625
APLIF,2910384
ABLT,2909700
AMMX,2907278
EGOX,2888202
NAOV,2867170
BBLG,2857694
LEJUY,2825699
AFDG,2821140
LXEH,2800008
SYTA,2794046
BDRX,2793840
SCNI,2780767
VMAR,2772687
ANDI,2771529
SXTP,2733977
ASST,2725169
TBLT,2710739
ALDA,2704449
ALTX,2695080
PALI,2676660
PRFX,2657772
NDRA,2652325
LYT,2645800
AFFY,2614936
PBM,2604669
AVGR,2589400
APEOF,2584400
AACS,2570340
SMX,2569634
CYCC,2558890
RELI,2551729
ALDVF,2550351
AGRDF,2531340
VEV,2526871
MDJH,2511712
TGL,2489931
MMATQ,2477349
BAOS,2470529
DRMA,2469331
SGBX,2443231
EZGO,2413662
NTBL,2394590
ADD,2375568
SNES,2367035
HSDT,2311465
STAF,2306119
SPRC,2305490
GNLN,2300534
NCPL,2300051
ALDS,2284694
ACRL,2277015
AMXX,2271846
CETX,2258935
TRNR,2243990
BSFC,2242224
VLCN,2226781
CRKN,2214720
VERO,2209232
TAOP,2207137
AKAN,2168751
ACDXF,2164623
ACLHF,2146228
ALYI,2140215
ADHC,2138804
GCTK,2126226
AAGH,2118899
BACK,2093260
SLRX,2075270
TIVC,2066520
ALLR,2062469
AISXF,2056612
ABQQ,2053143
FRZA,2032369
PHIO,2022694
OXBRW,2006183
SHPW,1984938
MYSZ,1953201
REVB,1947918
ABWN,1945080
AFIB,1944299
AKMYF,1938893
AAGC,1932447
CNTGF,1885006
AMLM,1882886
SBET,1878676
CYTO,1845429
AGSVF,1833115
ANICF,1797180
ACON,1756866
AMCF,1743490
UK,1740938
TC,1728320
KWE,1675387
UPC,1655219
JFBR,1654544
ADGO,1629330
AETHF,1582560
ADGCF,1576160
ONCT,1558546
BPTSY,1558038
TRVN,1554818
PBLA,1519561
AGNPF,1515194
SXTC,1482384
ANMP,1481004
KRBP,1468624
ADVT,1467700
SONN,1432396
AOTOF,1415763
CWBR,1412768
NITO,1398976
TFFP,1393783
AMMCF,1382287
SVRE,1349222
ALGLF,1281820
TANH,1272423
DYNT,1269724
PRST,1255557
ACMB,1237749
VINO,1236075
ALGWF,1207180
AMRU,1202519
ADXS,1150038
AIGFF,1118088
ENTO,1106118
ALCUF,1085693
AAIIQ,1073529
ACGI,1047919
MVLA,1043601
MINM,1039585
ABBY,1029920
ALEEF,1012310
ABNAF,1010863
APETF,996365
AFYG,978515
AGNY,978000
AATGF,967681
ADIA,958899
MCOM,922146
ARVLF,918755
ALKM,864638
AGIN,838685
AIVN,838342
HGAS,814781
AHFD,794763
AFFU,745415
AEPT,722783
ACCR,722400
AESO,690033
ADHI,666947
CETXP,633955
ENSC,630150
AJOY,621500
ANTH,617832
AMLH,606275
AGYP,605836
AJYG,601321
ANTGF,578000
ADSV,575736
ANAS,573358
ANGCF,548776
ALOD,508770
CONNQ,497720
AMGY,480489
AGGHF,472353
AFPW,470307
ACAN,463448
AAGR,462935
AMPDF,454197
AISSF,435302
AIXN,424996
AHELF,421913
ALKHF,419039
AEGY,411180
AERS,382161
ACHKF,377400
TCBP,360373
BIPH,357542
AOGC,356044
ACGX,354109
AGFAF,341857
AGRS,326120
FRBK,316849
ALPP,297610
ABPR,295788
CSSEQ,292131
AEXE,291510
AAPT,274463
AAPJ,235788
AAEEF,214383
AOXY,210748
VIRI,206501
ACNV,203519
AOLS,167294
APPZ,166383
ALST,152896
ACUR,151804
PAIOF,150527
IONM,141032
ACTL,139843
AKVA,135456
AHAG,113765
AGCZ,112240
APQT,106822
MGAM,106183
ADYX,87118
ALVRQ,87064
AMBD,85600
HSTO,85435
AERN,76611
AOBI,72991
BRSHF,70679
AFTM,70452
ADTR,66276
AMBS,63040
ALSI,62714
ACBM,60042
ALTD,49218
AMNL,48437
ADST,44862
ANFIF,44422
ABMT,42543
ALME,41224
AIPG,40246
AMMJ,37160
ACNI,29246
ISUNQ,28431
ABCE,26052
ADLI,25973
AMIH,19500
ADFS,18683
AMNE,17517
AMWK,16900
GGEI,14345
AIMH,13345
AOVTF,12235
AMCT,11828
RVLPQ,11141
AJIA,10934
SFRT,9651
GMGT,9140
INFIQ,9076
AFRMF,8982
AMSU,8820
AHFI,8411
THMO,7924
KBNT,7364
ANDR,6810
AGTK,6386
AGILQ,5240
ACTX,5190
ABMC,4810
ANSU,4696
APPB,4401
AMPE,4087
ALPE,3888
GROM,3609
ACAI,3300
APPM,2700
IMCI,2606
AOOO,2480
AMNI,2407
AFCL,2310
AFIIQ,2178
ALFIQ,1609
SMFL,1377
AECFF,1140
EFTR,941
AHPIQ,802
ABILF,797
BIOCQ,525
AUVIQ,467
AGGG,429
AFOM,324
SHPWQ,66
APHD,43
AFFN,2
ETP,0
USB-PA,0
PSA-P-S,0
