Symbol,MarketCapitalization
AAGIY,78404059136
BTI,78259421184
USB-PP,78087397376
CL,77697744896
MCK,77118595072
BP,76817121280
EMR,76594929664
GD,76347793408
TRI,76085460992
WIT,75465605120
FTNT,75464957952
TEAM,74874486784
SAN,74520666112
EOG,73129746432
DASH,73064005632
APD,72824782848
TDG,72698036224
BMO,72646598656
MMM,72606048256
CVS,71553196032
ORLY,71286448128
CP,71270227968
EPD,71204995072
COF,70796820480
GSK,70450176000
CNQ,70261571584
ECL,70218506240
NOC,69870952448
CRH,69752045568
WMB,69678612480
BNS,69414862848
CNI,68948811776
DEO,68608450560
FDX,68268736512
SPG,68152074240
CSX,68073304064
MS-PK,68065480704
MS-PI,67817996288
RCL,67525267456
RSG,67499974656
AJG,67426934784
TTD,67303751680
SE,67266699264
CARR,66385825792
EQNR,65996902400
ADSK,65766883328
SOJE,65719770000
MS-PF,65579692032
ET,65294155776
MFG,65021722624
DLR,64605868032
MS-PE,64433197056
OKE,64337723392
BDX,64254472192
CTA-PB,64130867200
CM,62744059904
TFC,62619115520
HLT,62258974720
KMI,62139269120
PCAR,62082428928
FCX,61845241856
DUK-PA,61434777600
NGG,60939812864
NSC,60548399104
SNOW,60422799360
AFL,59858141184
ROP,59823063040
TRV,59765026816
ANZGY,59748868096
CPRT,59652018176
TGT,59599683584
MET,59465023488
SQ,59421573120
SLB,59338543104
BK,59249586176
JD,58859675648
NTES,58823639040
GM,58707644416
PSA,58278133760
BBVA,58243067904
GWW,58079817728
FICO,57846521856
SRE,57601302528
NU,57486815232
CHTR,57462243328
CCZ,57449742336
URI,56975933440
MFC,56676057088
DDOG,55493754880
ARES,55432650752
NXPI,55149309952
ANCTF,55061876736
JCI,55020949504
AMP,54833623040
VST,54735556608
PCG,54466785280
ALL,54271463424
PSX,53936447488
AZO,53925900288
AEXAY,53698752512
AXON,52599037952
MNST,52272914432
AMXOF,52021702656
ROST,51957243904
CMI,51932991488
AEP,51898458112
PAYX,51818078208
SPG-PJ,51786813440
DHI,51284422656
SCHW-PD,51208900608
CTA-PA,51200552960
TRP,50810101760
MPLX,50614480896
VRT,50512719872
FANG,50420658176
FLUT,49782603776
ING,49703628800
ADYEY,49593233408
ITUB,49587068928
PWR,49445593088
SU,49215860736
WCN,49099304960
O,49064329216
BCS,48961499136
HWM,48787804160
MET-PA,48405602304
MSCI,48271204352
MPC,48240488448
D,47804968960
AIG,47493771264
ADYYF,47298060288
COR,47220236288
NEM,47143428096
FAST,47068336128
NDAQ,46710583296
ADTTF,46208622592
AMX,46180532224
KMB,46070947840
FIS,46023880704
GEV,46010818560
OXY,45884960768
PEG,45737119744
LHX,45611429888
TEL,45601259520
PFH,45494790000
PRU,45306458112
LEN,45119156224
AME,45105012736
ODFL,45054468096
CCI,44959178752
KDP,44735721472
ADDDF,44637249536
HES,44593917952
DFS,44515065856
LEN-B,44472160256
KVUE,44346224640
E,44304617472
PRS,44132130000
HLN,43994001408
KR,43954040832
EA,43909672960
TAK,43802992640
TCOM,43761033216
STZ,43490086912
TRGP,43248435200
CPNG,43226607616
ALC,43208257536
FERG,43195019264
MET-PE,42776096768
EW,42719215616
ADDYY,42717605888
AEM,42633961472
GLW,42604957696
VLO,42444546048
DAL,42440130560
NWG,42407165952
BKR,42114228224
LULU,42022682624
CTVA,41773666304
CBRE,41746972672
GRMN,41590693888
IR,41494114304
F,41491587072
VRSK,41189625856
VALE,41022398464
LYG,40972935168
IT,40304971776
SYY,40167546880
CTSH,40027873280
A,39984091136
TBN,39942463488
PSA-PH,39744069632
HMC,39742480384
OTIS,39594573824
LVS,39586451456
AAUKF,39448424448
RBLX,38677839872
YUM,38548217856
VEEV,38498185216
EXC,38163443712
HUBS,38091505664
NET,37998456832
STLA,37993369600
VMC,37984706560
ARGX,37439660032
KHC,37375447040
GEHC,37264846848
ACGL,37056073728
IQV,36875284480
CCEP,36772671488
GIS,36390674432
EXR,36171968512
SLF,36090818560
PSA-PK,35629932544
MLM,35597598720
CCL,35491934208
HSY,35310948352
MTB,35244937216
RMD,35144429568
HIG,35140587520
OWL,35097718784
IDXX,35004891136
ABEV,34916601856
WAB,34881638400
IRM,34880679936
HPQ,34846466048
HUM,34688151552
ALL-PH,34663972864
HOOD,34404343808
NUE,34181728256
DD,34163642368
BSBR,33945139200
ALL-PB,33907970048
RJF,33822470144
UAL,33690058752
ROK,33541699584
VICI,33491079168
ED,33433194496
TTWO,33374400512
DB,33137520640
ANNSF,32995348480
ETR,32960940032
EIX,32876779520
CSGP,32694304768
EFX,32671299584
ALNY,32478705664
AVB,32401686528
ANYYY,32356079616
ADRNY,32344700928
AMADY,32234334208
HEI-A,32198576128
HEI,32198531072
AEXAF,31943839744
BRO,31781466112
AHODF,31738124288
FITB,31730094080
DXCM,31642105856
ANSS,31608803328
QSR,31316537344
MCHP,31280832512
AMADF,31217403904
WEC,31113459712
LYV,31054768128
DECK,31014813696
TPL,30938918912
IOT,30672183296
XYL,30666946560
TSCO,30540939264
CUK,30479687680
EBAY,30473979904
FCNCA,30428575744
GOLD,30382368768
WDS,30342023168
CAH,30309419008
CNC,30175780864
BIDU,30149097472
ORAN,30091730944
CHT,29943756800
CVNA,29906855936
GPN,29737766912
TW,29706283008
DOW,29536882688
PPG,29424605184
GDDY,29277138944
KEYS,29276950528
STT,28904689664
EQR,28858740736
CVE,28568338432
WPM,28549326848
BNTX,28490700800
EL,28463337472
HPE,28116203520
ANPDF,28086151168
ON,27991894016
ANPDY,27971213312
MPWR,27917770752
K,27841255424
TROW,27701006336
DOV,27682600960
BR,27575283712
AMKAF,27515348992
FTV,27457542144
NVR,27437074432
ERIC,27435374592
TYL,26994360320
CHD,26922786816
AMKBF,26898079744
RKT,26828550144
EQT,26665822208
CCJ,26607454208
DTG,26575570000
DTB,26575570000
PHM,26517170176
HAL,26372630528
AMKBY,26361950208
MTD,26334060544
NTAP,26236710912
WBD,26199855104
VTR,26064220160
SYF,26054899712
VLTO,26039060480
DLR-PK,25966358528
TPG,25875300352
IX,25858222080
AWK,25745498112
TEF,25716191232
HBAN,25714737152
AIPUY,25638983680
GIB,25491658752
RYAAY,25390764032
PHG,25384574976
DTE,25353304064
LYB,25314775040
DLR-PJ,25306517504
MDB,25212389376
PPL,25157396480
HUBB,25070563328
ADM,25017757696
LPLA,24758939648
AEE,24672165888
BCE,24604272640
CINF,24566466560
EXPE,24515368960
GFS,24471562240
WRB,24258881536
BAM,24250185728
PTC,24168679424
SMCI,24090142720
ROL,24050565120
RF,23903107072
SBAC,23824947200
FE,23824945152
FNV,23778658304
CDW,23760971776
NTR,23724212224
EME,23623000064
DVN,23622121472
PBA,23552143360
TU,23513919488
LI,23511406592
BIIB,23449122816
STM,23333681152
VOD,23329320960
SW,23328032768
NOK,23269388288
WAT,23236876288
LII,23202525184
TECK,23111012352
SOJC,23087849472
WST,23044808704
WSM,23018446848
FWONK,22871590912
IFF,22755698688
TSN,22636558336
MKL,22625300480
ILMN,22600503296
ES,22585018368
KB,22574256128
BEKE,22561415168
WY,22494978048
BGNE,22469158912
FTS,22323795968
TDY,22317408256
NTRA,22314190848
ATO,22228414464
PUK,22196471808
ERIE,22191833088
ANFGF,22171924480
PKG,21942927360
DKNG,21865240576
LDOS,21850986496
PINS,21829201920
NTRS,21792088064
ZBH,21730918400
WSO,21691287552
TOST,21595361280
AJINY,21570418688
ASX,21524916224
AFRM,21465726976
STE,21461925888
BF-B,21403705344
BF-A,21403703296
TS,21370894336
WSO-B,21210609664
FSLR,21189988352
STLD,21116379136
GRAB,21101479936
CNP,21050796032
CLX,21010587648
MKC-V,20969598976
LINE,20927635456
AONNY,20922763264
CHKP,20920938496
COO,20907378688
LUV,20894838784
MKC,20802508800
STX,20768016384
FOXA,20741337088
TME,20731682816
FOX,20717451264
CKHUY,20688975872
BBDO,20666632192
BBD,20666628096
KSPI,20650938368
UI,20632535040
IHG,20626448384
CFG,20611586048
INVH,20571312128
NRG,20515885056
PSTG,20500412416
SNAP,20411645952
BLDR,20383891456
TEVA,20190949376
ALPMF,20159567872
CMS,20132132864
OMC,20121890816
DRI,20118466560
ESS,20072556544
IP,20052428800
FWONA,19969947648
CPAY,19900522496
CSL,19775027200
MT,19732938752
LH,19646869504
AMSYF,19563909120
RCI,19463651328
BBY,19430475776
GEN,19256406016
RDDT,19249909760
RYAN,19224438784
ONON,19194499072
TRU,19182057472
PFG,19155802112
MAA,19095795712
SNA,19052849152
SSNC,19049441280
TER,19036841984
ALPMY,18933235712
CTRA,18897178624
STT-PG,18880524288
CG,18871248896
ULTA,18836936704
PODD,18769344512
AER,18707439616
HIG-PG,18645510144
L,18612627456
BURL,18587871232
KEY,18586562560
MANH,18525958144
KEY-PK,18492020736
CRBG,18476898304
BAH,18459385856
NMR,18439323648
ARE,18425157632
TRMB,18413283328
ALFVF,18383376384
AIRYY,18363832320
JBHT,18335936512
NTNX,18286086144
GFL,18237237248
YUMC,18179807232
FDS,18172702720
VRSN,18159056896
ALFVY,18135830528
XPO,18057478144
FITBI,18020124672
HRL,18019241984
RBA,17997060096
AICAF,17985323008
PNR,17970593792
SHG,17942779904
DGX,17885177856
RPM,17838135296
AHCHF,17797122048
ICLR,17708986368
FIX,17694504960
ALGN,17565108224
AHCHY,17549785088
DG,17505234944
DT,17500116992
KOF,17449494528
HOLX,17444964352
NI,17401520128
NWS,17386278912
NWSA,17386276864
MAS,17344061440
GPC,17326665728
IEX,17298987008
GWRE,17252542464
CAVA,17244289024
TLK,17227266048
MOH,17184024576
BALL,17174415360
OC,17170586624
J,17075215360
KIM,17054270464
DOCU,17047707648
DKS,17005378560
FNF,16990245888
SOFI,16982596608
EXPD,16965021696
TWLO,16922857472
UDR,16900962304
EC,16874163200
UMC,16873958400
SUI,16853012480
USFD,16848479232
COHR,16805790720
UTHR,16714908672
RS,16647404544
MRNA,16524083200
AVY,16419590144
DUOL,16407575552
SYM,16394864640
BAX,16287757312
AIVAF,16254168064
FTAI,16238792704
WLK,16193746944
ENTG,16171885568
CGABL,16143690000
BIP,16125042688
BEP,16117995520
EG,16104510464
ALMMF,16086415360
DPZ,16071538688
JEF,16026866688
MRO,15971154944
CF,15922786304
DLTR,15876272128
H,15809841152
AZPN,15807996928
LNT,15791102976
TOL,15744629760
AMH,15732644864
AMCCF,15595218944
RPRX,15548538880
TXT,15417902080
SFM,15403723776
KEY-PJ,15402783744
VTRS,15385375744
WES,15355394048
BAP,15342676992
JBL,15321822208
ACGLN,15297160000
CASY,15290842112
JHX,15233675264
FLEX,15162314752
ACM,15130038272
FFIV,15066958848
GGG,15044534272
ZTO,15040503808
MORN,15033056256
DOC,15031029760
BSY,14979509248
EQH,14955574272
RNR,14909896704
TPR,14874680320
AMCR,14800281600
KEY-PI,14794336256
EWBC,14676652032
AKAM,14632111104
RGA,14590918656
EVRG,14562079744
NDSN,14557265920
RL,14460834816
INCY,14433337344
CW,14427526144
AVTR,14422211584
ARCC,14323506176
OKTA,14310713344
CYBR,14273372160
SN,14256166912
POOL,14246076416
RF-PC,14234452992
PKX,14232444928
MNDY,14210754560
FMS,14189476864
GLPI,14136676352
PFGC,14111257600
VIK,14104818688
VIV,14088730624
ELS,14056815616
SWKS,14034608128
RVTY,14006682624
BXP,13974112256
UNM,13896772608
GMAB,13879994368
MBLY,13868920832
CNA,13799399424
AGR,13766294528
SAIA,13745145856
YPF,13635059712
EPAM,13634122752
NLY-PG,13622699008
AKRBY,13600048128
FTI,13592009728
REG,13576436736
LAMR,13566439424
AMDUF,13547680768
INSM,13482112000
SUZ,13396184064
APTV,13375898624
PAYC,13366628352
TXRH,13333472256
HST,13320345600
ACGLO,13306091520
CLH,13295830016
CAG,13277734912
AIBGY,13237181440
DVA,13236212736
EBR-B,13227734016
EBR,13227709440
THC,13208972288
AAVMY,13195496448
NLY-PF,13183393792
MGA,13157391360
AKRBF,13152180224
UHS,13135075328
KMX,13100372992
SWK,13093148672
RTO,13060007936
NVT,13051764736
CNH,12976623616
PAA,12975656960
JLL,12974702592
CPT,12958540800
NBIX,12933271552
TFII,12927966208
SMMT,12920089600
ABMRF,12893100032
HLI,12878424064
MAA-PI,12828617728
MMYT,12803923968
GME,12783581184
LOGI,12779709440
ITT,12749044736
CPB,12726291456
CHRW,12721289216
TAP,12718887936
BJ,12687629312
CHWY,12684172288
JKHY,12666463232
TAP-A,12645600256
BMRN,12608972800
RIVN,12595067904
SCI,12584168448
UHAL-B,12580586496
PCOR,12563595264
GFI,12548237312
UHAL,12494080000
ACSAF,12430619648
ACSAY,12429231104
SJM,12415554560
LBRDK,12341019648
LBRDA,12341016576
WPC,12227037184
KGC,12222935040
ALLE,12197919744
RDY,12196980736
PPC,12195243008
LECO,12192480256
JNPR,12177453056
DAY,12176016384
NCLH,12171112448
PR,12170969088
XPEV,12159611904
AFG,12120518656
SRPT,12062215168
ALB,12060825600
TECH,12058330112
BG,12035847168
NICE,11985993728
RKLB,11957871616
ACRFF,11929985024
AA,11928250368
ROKU,11910674432
FUTU,11895815168
AUR,11891466240
BCH,11879599104
ACCYY,11854447616
EMN,11816170496
WPP,11812818944
CRDO,11773626368
BEN,11730162688
BWXT,11702025216
TKO,11698540544
ALLY,11691914240
PCTY,11690651648
SF,11678477312
KNSL,11595328512
EXAS,11587608576
AIZ,11558640640
ESTC,11558076416
TTEK,11496798208
FND,11493018624
EVR,11457158144
AAL,11420936192
ATR,11385559040
MTZ,11336140800
AEOXF,11330896896
GMED,11314116608
CTLT,11275525120
CART,11257139200
VFS,11225760768
PCVX,11222316032
RRX,11193210880
ESLT,11141814272
U,11130468352
OVV,11108024320
ACI,11088719872
LW,11078438912
YMM,11043120128
BLD,11037216768
AAON,11034518528
SNN,11021828096
CCK,11013371904
NLY,10986740736
IPG,10981564416
ARMK,10980236288
MGM,10968741888
FHN,10968552448
SARO,10953630720
MUSA,10947874816
OHI,10940090368
PAG,10932789248
CFLT,10918953984
CUBE,10907659264
CNM,10851518464
COKE,10845371392
SEIC,10805152768
WTRG,10797705216
SOLV,10784012288
CLS,10714337280
GNRC,10708323328
AOS,10671683584
RBC,10670081024
BPYPP,10665844736
SBS,10642250752
MEDP,10639230976
APG,10636578816
AEG,10613830656
SKX,10611821568
SQM,10602622976
GTLB,10594466816
AIT,10573172736
PSO,10565671936
DTM,10565157888
AKZOY,10550089728
PSN,10518162432
PNW,10511564800
AETUF,10473090048
CIEN,10431963136
AKZOF,10418409472
SNX,10384139264
AMIGY,10374280192
EHC,10364152832
CHDN,10360095744
AU,10358368256
EDU,10351384576
HTHT,10344508416
DOCS,10327801856
LKQ,10325611520
EXEL,10292268032
ALSMY,10291673088
HLNE,10281380864
VNO-PM,10267096064
KVYO,10264966144
WBS,10264031232
AOMFF,10258364416
WCC,10226164736
CACI,10221500416
CRL,10193988608
VNO-PL,10177602560
WAL,10165993472
DSGX,10155237376
ALSN,10142663680
BRBR,10140294144
AYI,10127812608
CR,10082579456
AHKSY,10065848320
EXP,10063020032
LAD,10039294976
UWMC,10021027840
DOX,10010749952
